-0.56	49	2	-0.57	24	1.5	--
-0.6	67	1.5	-0.61	37.5	2.25	--
-0.63	98	2	-0.64	52	2.4	--
-0.67	123	3	-0.67	67.5	3	--
-0.7	159	3.6	-0.7	84	6.9	--
-0.73	222	4.9	-0.73	105	8.05	
-0.75	244	6	-0.75	128	8	
-0.78	232	9	-0.78	117	9	
-0.82	210	6	-0.8	110	10	
