	CuBa-Cu-air		CuBa-Cu-400mA		Cu foil
9400.7235	1.3039333	9400.7235	1.29988037	9738.8967	1.3025217
9404.7303	1.3032708	9404.7303	1.3007737	9745.3689	1.3029091
9408.7562	1.3034633	9408.7562	1.3025125	9751.8498	1.3034305
9412.8011	1.3034579	9412.8011	1.3014843	9758.3853	1.3038743
9416.865	1.3042707	9416.865	1.29860291	9764.9297	1.3043483
9420.9479	1.3026685	9420.9479	1.29893922	9771.5061	1.3047785
9425.0498	1.3022214	9425.0498	1.29996889	9778.1144	1.3049546
9429.1707	1.3051954	9429.1707	1.3018791	9784.7549	1.3052409
9433.3107	1.3026226	9433.3107	1.3013067	9791.4276	1.3055037
9437.4696	1.3053586	9437.4696	1.29912235	9798.1096	1.3057568
9441.6476	1.3052989	9441.6476	1.29775444	9804.8241	1.3059787
9445.8445	1.3057401	9445.8445	1.29913355	9811.571	1.3062024
9450.0605	1.3077275	9450.0605	1.29966266	9818.3506	1.3063345
9454.2955	1.308209	9454.2955	1.3005195	9825.1398	1.3064566
9458.5495	1.3089379	9458.5495	1.29942802	9831.985	1.3065871
9462.8226	1.3084127	9462.8226	1.299493	9838.84	1.3067232
9467.1146	1.3095632	9467.1146	1.3015952	9845.7047	1.3069635
9471.4256	1.311671	9471.4256	1.3033049	9852.6259	1.30711
9475.7557	1.3117396	9475.7557	1.3025643	9859.557	1.307387
9480.1047	1.312953	9480.1047	1.3013051	9866.5214	1.3074161
9484.4728	1.3122639	9484.4728	1.3004285	9873.5193	1.3076425
9488.8599	1.3131878	9488.8599	1.3043318	9880.5274	1.3079713
9493.266	1.315212	9493.266	1.3072185	9887.5691	1.3082101
9497.6911	1.3147626	9497.6911	1.3082354	9894.6446	1.3085211
9502.1352	1.3158727	9502.1352	1.310523	9901.754	1.3090826
9506.5984	1.3187711	9506.5984	1.3107224	9908.8738	1.3092055
9511.0805	1.3196328	9511.0805	1.3141152	9916.0514	1.3096832
9515.5817	1.3208169	9515.5817	1.3142273	9923.2159	1.309853
9520.1018	1.3209243	9520.1018	1.3142399	9930.4383	1.3101427
9524.6801	1.3242065	9524.6801	1.3122364	9937.6715	1.3104148
				9944.9393	1.3106768
				9952.2417	1.3109795
				9959.5551	1.3111885
				9966.9033	1.3114728
				9974.2865	1.3117261
